DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,github_repo_id,open_source_license,Score_Jul-2026,Rank_Jul-2026
filedb-dotnet,filedb-dotnet,,X_Single,Y_auto,FileDb,Relational,C#,"Custom API,SQL",Embedded,EzTools Software,AU,2011,2019,"Commercial,Open Source",Mozilla Public License,eztools-software/FileDb,172208960,Y,,
filodb,filodb,,X_Single,Y_auto,FiloDB,,Scala,PromQL,,Evan Chan,US,2015,,Open Source,Apache v2,filodb/FiloDB,,Y,,
finedb,finedb,,X_Single,Y_auto,FineDB,Key-value,C,Custom API,Shared-Everything,Amaury Bouchard,FR,2013,2013,"Hobby,Open Source",Apache v2,Amaury/FineDB,10650868,Y,,
firebird,firebird,firebird,Normal,Y_auto,Firebird,Relational,"C,C++","Custom API,SQL,Stored Procedures,Command-line / Shell",Shared-Everything,Borland Software Corporation,US,2000,2024,Open Source,Mozilla Public License#dbdbio>|<dbengines#Initial Developer's Public License,FirebirdSQL/firebird,54005538,Y,18.21,34
fireproof,fireproof,,X_Single,Y_auto,Fireproof,Document,JavaScript,Custom API,Shared-Everything,Fireproof Storage,GB,2022,,"Commercial,Open Source",Apache v2,fireproof-storage/fireproof,679889516,Y,,
fjall,fjall,,X_Single,Y_auto,Fjall,Key-value,Rust,Custom API,Embedded,Marvin Janke,DE,2023,,"Hobby,Open Source","Apache v2,MIT License",fjall-rs/fjall,719588139,Y,,
flashdb,flashdb,,X_Single,Y_auto,FlashDB,Key-value,C,Custom API,Embedded,Armink,CN,2020,,"Hobby,Open Source",Apache v2,armink/FlashDB,266515876,Y,,
flashfiler,flashfiler,,X_Single,Y_auto,FlashFiler,,,,,TurboPower Software Company,,1985,2003,"Commercial,Open Source",Mozilla Public License,,,Y,,
fleetdb,fleetdb,,X_Single,Y_auto,FleetDB,Document,Clojure,Custom API,,Mark McGranaghan,US,2009,2014,"Academic,Open Source",MIT License,mmcgrana/fleetdb,351190,Y,,
flockdb,flockdb,flockdb,Normal,Y_auto,FlockDB,Graph,Scala,,,Twitter Inc.,US,2010,2012,Open Source,Apache v2,twitter-archive/flockdb,605999,Y,0.1,342
fluree,fluree,fluree,Normal,Y_auto,Fluree,"Graph,Relational,Document,RDF",Clojure,"Custom API,SQL,GraphQL,SPARQL,HTTP / REST",,"Fluree, PBC",US,2017#dbdbio>|<dbengines#2018,,"Commercial,Open Source",AGPL v3; open-sourced in October 2020,fluree/db,305513242,Y,0.28,286
fongo,fongo,,X_Single,Y_auto,Fongo,Document,Java,Custom API,Shared-Everything,"Foursquare Labs, Inc.",US,2012,2020,Open Source,Apache v2,fakemongo/fongo,14143348,Y,,
forestdb,forestdb,,X_Single,Y_auto,ForestDB,Key-value,C++,Custom API,Embedded,"Couchbase, Inc.",US,2013,2019,Open Source,Apache v2,couchbase/forestdb,12497058,Y,,
foundationdb,foundationdb,foundationdb,Normal,Y_auto,FoundationDB,Key-value#dbdbio>|<dbengines#Document,C++,Custom API,Shared-Nothing,FoundationDB,US,2009#dbdbio>|<dbengines#2013,2020,Open Source,Apache v2.0,apple/foundationdb,114187903,Y,1.07,183
framerd,framerd,,X_Single,Y_auto,FramerD,Object Oriented,C,Custom API,,Massachusetts Institute of Technology,US,1996,2005,"Academic,Open Source",GPL v2,wware/FramerD,107304517,Y,,
frigatebird,frigatebird,,X_Single,Y_auto,Frigatebird,Relational,Rust,SQL,Embedded,Daksh R,NL,2025,,"Hobby,Open Source",MIT License,Frigatebird-db/frigatebird,1034164151,Y,,
frostdb,frostdb,,X_Single,Y_auto,FrostDB,Wide column,Go,Custom API,Embedded,Polar Signals,US,2022,,Open Source,Apache v2,polarsignals/frostdb,473235285,Y,,
fueldb,fueldb,,X_Single,Y_auto,FuelDB,Document,Java,,,Joris Basiglio,FR,2014,2015,Open Source,MIT License,jbasiglio/fueldb,25364889,Y,,
gadfly,gadfly,,X_Single,Y_auto,Gadfly,Relational,Python,,,Aaron Watters,US,1994,2013,Open Source,Python License,-,,Y,,
gaffer,gaffer,,X_Single,Y_auto,Gaffer,Graph,Java,HTTP / REST,,Government Communications Headquarters,GB,2016,2025,Open Source,Apache v2,gchq/Gaffer,47973088,Y,,
gaia,gaia,,X_Single,Y_auto,Gaia,Object Oriented,C++,Custom API,Embedded,GAIA,US,2020,2022,"Commercial,Open Source",MIT License,gaia-platform/GaiaPlatform,240387847,Y,,
garnet,garnet,,X_Single,Y_auto,Garnet,Key-value,C#,Custom API,Shared-Everything,Microsoft Corporation,US,2021,,"Industrial Research,Open Source",MIT License,microsoft/garnet,681372871,Y,,
gdbm,gdbm,,X_Single,Y_auto,GDBM,Key-value,C,Custom API,Embedded,"Philip A. Nelson, Jason Downs, Sergey Poznyakoff",US,1990,,Open Source,GPL v2,,,Y,,
gel,gel,,X_Single,Y_auto,Gel,Relational,"C,Python,Rust","Custom API,SQL,GraphQL,HTTP / REST,Command-line / Shell",Shared-Everything,Gel Data,CA,2018,,"Commercial,Open Source",Apache v2,geldata/gel,95817032,Y,,
genosdb,genosdb,,X_Single,Y_auto,GenosDB,Graph,JavaScript,Custom API,,Esteban Fuster Pozzi,ES,2025,,"Hobby,Open Source",Proprietary,estebanrfp/gdb,590923204,Y,,
geode,geode,geode,Normal,Y_auto,Geode,Key-value,Java,Custom API,Shared-Nothing,"Pivotal Software, Inc.",US,2015#dbdbio>|<dbengines#2002,2017,Open Source,Apache v2; commercial licenses available as Gemfire,apache/geode,34839383,Y,1.28,163
ghostdb,ghostdb,,X_Single,Y_auto,GhostDB,Key-value,Go,,Shared-Nothing,Jake Grogan,IE,2020,2021,Open Source,BSD License,jakekgrog/GhostDB,265390281,Y,,
gigabase,gigabase,,X_Single,Y_auto,GigaBASE,Relational,C++,,,Konstantin Knizhnik,RU,,,"Hobby,Open Source",,aur-archive/gigabase,40787594,Y,,
gitdb,gitdb,,X_Single,Y_auto,GitDB,"Document,Vector",Python,"HTTP / REST,RPC",,Vincent Kaufmann,,2026,,"Hobby,Open Source",MIT License,VincentKaufmann/GitDB,1182378589,Y,,
glaredb,glaredb,,X_Single,Y_auto,GlareDB,Relational,Rust,SQL,Shared-Nothing,"GlareDB, Inc.",US,2022,2025,"Commercial,Open Source",AGPL v3,GlareDB/glaredb,496817075,Y,,
glowdust,glowdust,,X_Single,Y_auto,Glowdust,Relational,Rust,Custom API,Shared-Everything,Chris Gioran,SE,2023,2025,"Hobby,Open Source",GPL v3,-,,Y,,
gnocchi,gnocchi,,X_Single,Y_auto,Gnocchi,Relational,Python,HTTP / REST,,Open Infrastructure Foundation,FR,2014,,Open Source,Apache v2,gnocchixyz/gnocchi,91715647,Y,,
gnu-sql-server,gnu-sql-server,,X_Single,Y_auto,GNU SQL Server,Relational,C,,,,RU,1997,1998,Open Source,GPL v2,-,,Y,,
goatdb,goatdb,,X_Single,Y_auto,GoatDB,Document,TypeScript,Custom API,Embedded,Ofri Wolfus,IL,2024,,Open Source,Apache v2,goatplatform/goatdb,897888926,Y,,
goods,goods,,X_Single,Y_auto,GOODS,Object Oriented,,,,Konstantin Knizhnik,RU,,,Open Source,MIT License,-,,Y,,
goshawkdb,goshawkdb,,X_Single,Y_auto,GoshawkDB,Object Oriented,Go,Custom API,,Matthew Sackman,GB,2015,2016,"Commercial,Open Source",AGPL v3,goshawkdb/server,48279725,Y,,
grapheekdb,grapheekdb,,X_Single,Y_auto,GrapheekDB,"Key-value,Graph",Python,"Custom API,Gremlin",Embedded,Raphaël Braud,FR,2014,2015,Open Source,GPL v3,fanjinfei/grapheekdb,74678263,Y,,
graphik,graphik,,X_Single,Y_auto,Graphik,Document,Go,GraphQL,,Coleman Word,US,2020,2022,"Hobby,Open Source",Apache v2,graphikDB/graphik,285669400,Y,,
graphlite,graphlite,,X_Single,Y_auto,GraphLite,Graph,Rust,GQL,Embedded,DeepGraph AI,US,2025,,"Commercial,Open Source",Apache v2,GraphLite-AI/GraphLite,1096820313,Y,,
graviton,graviton,,X_Single,Y_auto,Graviton,Key-value,Go,Custom API,Embedded,DERO Foundation,FR,2020,2022,Open Source,GPL v3,deroproject/graviton,292903178,Y,,
greatsql,greatsql,,X_Single,Y_auto,GreatSQL,Relational,C++,SQL,Shared-Everything,Beijing Wanli Open Source Software Co.,CN,2020,,"Commercial,Open Source",GPL v2,GreatSQL/GreatSQL,345982729,Y,,
greptimedb,greptimedb,greptimedb,Normal,Y_auto,GreptimeDB,Time Series,Rust,"SQL,HTTP / REST,PromQL",Shared-Disk,Greptime,CN,2022,,"Commercial,Open Source",Apache v2.0,GreptimeTeam/greptimedb,480217156,Y,0.14,328
griddb,griddb,griddb,Normal,Y_auto,GridDB,Key-value#dbdbio>|<dbengines#Time Series,C++,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Toshiba,JP,2011#dbdbio>|<dbengines#2013,2022,"Commercial,Open Source","AGPL v3,Apache v2.0",griddb/griddb,52420005,Y,1.46,154
gridgain,gridgain,gridgain,Normal,Y_auto,GridGain,Columnar,Java,SQL,Shared-Nothing,"GridGain Systems, Inc.",US,2007,,"Commercial,Open Source",Apache v2,gridgain/gridgain,170496871,"Y#dbdbio>|<dbengines#commercial, open source",1.34,161
gun,gun,,X_Single,Y_auto,GUN,Graph,JavaScript,Custom API,Shared-Everything,Mark Nadal,US,2014,,"Commercial,Open Source",Apache v2,amark/gun,22475123,Y,,
h-store,h-store,,X_Single,Y_auto,H-Store,Relational,"C++,Java","SQL,Stored Procedures",Shared-Nothing,"Brown University, Massachusetts Institute of Technology, Carnegie Mellon University",US,2006,2016,"Academic,Open Source","BSD License,GPL v3",apavlo/h-store,3104540,Y,,
h2,h2,h2,Normal,Y_auto,H2,Relational,Java,SQL,"Shared-Everything,Embedded",Thomas Mueller,CH,2004#dbdbio>|<dbengines#2005,2023,Open Source,"Eclipse Public License,Mozilla Public License",h2database/h2database,33745913,Y,8.4,48
hadoop,hadoop,,X_Single,Y_auto,Hadoop,,Java,Custom API,Shared-Disk,Yahoo Inc.,US,2006,,Open Source,Apache v2,apache/hadoop,,Y,,
haildb,haildb,,X_Single,Y_auto,HailDB,Key-value,,,Embedded,Stewart Smith,AU,2010,2015,Open Source,,nextgres/oss-haildb,149145424,Y,,
halodb,halodb,,X_Single,Y_auto,HaloDB,Key-value,Java,,Embedded,Yahoo Inc.,US,2017,2023,"Industrial Research,Open Source",Apache v2,yahoo/HaloDB,137792810,Y,,
halodb-revive,halodb-revive,,X_Single,Y_auto,HaloDB Revive,Key-value,Java,Same as HaloDB,Embedded,,US,2017,,Open Source,Apache v2,outr/HaloDB,891723751,Y,,
hampusdb,hampusdb,,X_Single,Y_auto,HampusDB,Key-value,C,Custom API,Shared-Everything,Hampus Soderstrom,SE,2006,2013,"Hobby,Open Source",LGPL v2,-,,Y,,
hanoidb,hanoidb,,X_Single,Y_auto,HanoiDB,Key-value,Erlang,,,Kresten Krab Thorup,DK,2012,2016,Open Source,,krestenkrab/hanoidb,3102187,Y,,
hawq,hawq,apache-hawq,RepoExactManual:Normal,Y_auto,Apache HAWQ,Relational,Java,SQL,Shared-Disk,"Pivotal Software, Inc.",US,2015#dbdbio>|<dbengines#2012,2023,Open Source,Apache v2,apache/hawq,41952293,Y,0.86,201
haystackdb,haystackdb,,X_Single,Y_auto,HaystackDB,Vector,Rust,Custom API,Shared-Everything,Carson Poole,US,2024,2024,"Hobby,Open Source",Apache v2,carsonpo/haystackdb,793209340,Y,,
hazelcast,hazelcast,hazelcast,Normal,Y_auto,Hazelcast,Key-value,Java,Custom API,Shared-Nothing,Hazelcast Inc.,US,2008,2023,"Commercial,Open Source",Apache v2; commercial licenses available,hazelcast/hazelcast,3786237,Y,4.71,68
hbase,hbase,apache-hbase,WebsiteExact:Normal,Y_auto,Apache HBase,Wide column,Java,Custom API,Shared-Disk,Powerset#dbdbio>|<dbengines#Apache Software Foundation,US,2007#dbdbio>|<dbengines#2008,2021,Open Source,Apache v2,apache/hbase,20089857,Y,20.23,32
heavydb,heavydb,heavyai,RepoExactWeb:Normal,Y_auto,HeavyDB,Relational,C++,"Custom API,SQL,Command-line / Shell,RPC",Shared-Everything,HEAVY.AI,US,2013,2025,"Commercial,Open Source",Apache v2,heavyai/heavydb,90541149,Y,1.13,177
helindb,helindb,,X_Single,Y_auto,HelinDB,Key-value,Go,Custom API,,,,2021,2024,"Hobby,Open Source",,thetarby/helindb,426652249,Y,,
helixdb,helixdb,,X_Single,Y_auto,HelixDB,"Graph,Vector",Rust,Custom API,Shared-Everything,"Helix DB, Inc.",US,2024,,"Commercial,Open Source",Apache v2,HelixDB/helix-db,893031915,Y,,
herddb,herddb,,X_Single,Y_auto,HerdDB,Relational,Java,"Custom API,SQL,Command-line / Shell",Shared-Nothing,Diennea S.r.l.,IT,2016,,Open Source,Apache v2,diennea/herddb,52507351,Y,,
heroic,heroic,heroic,Normal,Y_auto,Heroic,Key-value#dbdbio>|<dbengines#Time Series,Java,Custom API,Shared-Nothing,Spotify,SE,2015#dbdbio>|<dbengines#2014,2019,Open Source,Apache v2.0,spotify/heroic,36483902,Y,0.02,370
hexxladb,hexxladb,,X_Single,Y_auto,HexxlaDB,"Array,Vector",Go,Custom API,Embedded,,,2026,,"Hobby,Open Source",MIT License,hexxla/hexxladb,1208697458,Y,,
hibari,hibari,hibari,Normal,Y_auto,Hibari,Key-value,Erlang,,,Gemini Mobile Technologies,"JP,US",2005,2017,Open Source,Apache v2,hibari/hibari,1202421,Y,0.35,270
hipsterdb,hipsterdb,,X_Single,Y_auto,hipsterDB,Key-value,Go,HTTP / REST,,Rob Merrell,US,2013,2013,"Hobby,Open Source",,robmerrell/hipsterdb,9847951,Y,,
histore,histore,,X_Single,Y_auto,Histore,Key-value,JavaScript,Custom API,,Jason Miller,US,2018,2018,"Hobby,Open Source",Apache v2,developit/histore,132499340,Y,,
hive,hive,apache-hive,WebsiteExact:Normal,Y_auto,Apache Hive,Relational,Java,SQL,"Apache Hive has 6 main components as part of its architecture. 1. UI - The front-end where users can submit their queries. 2. Driver - The component which receives queries, creates session handles and monitors the lifecycle and progress of the queries. The driver also collects the results of the query obtained after the Reduce operation. 3. Compiler - The component that parses the query, does semantic analysis on the query (query expressions and other query blocks) and creates an execution plan for the same. The compiler creates the execution plan with the help of table metadata and partition metadata that it retrieves from the metastore. The execution plan is in the form of a series of map-reduce tasks. 4. Optimizer - This component does more plan transformations on the execution plan generated by the Compiler to generate a more optimized execution plan. 5. Metastore - The component that stores metadata about all the tables and the partitions in the warehouse. The data is stored in a traditional RDBMS format and caters to two important features of a data warehouse: data abstraction and data discovery. 6. Execution Engine – The component which executes the execution plan created by the compiler. The plan is a DAG of stages. The execution engine executes the query plan in accordance with the dependency between the stages.",Meta Platforms Inc,US,2010#dbdbio>|<dbengines#2012,2022,Open Source,Apache v2,apache/hive,206444,Y,70.84,16
hive-dart,hive-dart,,X_Single,Y_auto,Hive,Key-value,Dart,Custom API,Embedded,Simon Leier,DE,2019,2023,Open Source,Apache v2,isar/hive,195895847,Y,,
hollowdb,hollowdb,,X_Single,Y_auto,HollowDB,Key-value,TypeScript,Custom API,Shared-Nothing,FirstBatch,TR,2023,2024,"Hobby,Open Source",MIT License,firstbatchxyz/hollowdb,606800919,Y,,
horaedb,horaedb,,X_Single,Y_auto,HoraeDB,Relational,Rust,"SQL,HTTP / REST",Shared-Disk,Ant Group,CN,2021,2025,Open Source,Apache v2,apache/horaedb,496505424,Y,,
hstreamdb,hstreamdb,,X_Single,Y_auto,HStreamDB,Relational,Haskell,"Custom API,SQL","HStreamDB is based on a shared nothing architecture. Each of the nodes in a deployment are identical and contain two components, the HStream Server and the HStream Storage layer. The HStream Server is responsible for parsing and executing SQL queries as well as any other computations required by a connected client. The HStream Storage layer is a distributed storage system that uses RockDB as a key-value store for all of the streaming data. Streams are stored across multiple nodes in shards, and shards can be replicated using Paxos. This layer is also responsible for pushing data to consumers with stream subscriptions.",EMQ Technologies Co.,CN,2020,2024,"Commercial,Open Source",BSD License,hstreamdb/hstream,291675222,Y,,
hugegraph,hugegraph,apache-hugegraph,WebsiteExact:Normal,Y_auto,Apache HugeGraph,Graph,Java,"Gremlin,HTTP / REST",,"Baidu, Inc.",CN,2017#dbdbio>|<dbengines#2018,,Open Source,Apache v2.0,apache/hugegraph,141376301,Y,0.13,329
hydra,hydra,,X_Single,Y_auto,Hydra,Relational,C,SQL,Shared-Everything,Hydra,CA,2022,2025,"Commercial,Open Source","AGPL v3,Apache v2",hydradatabase/columnar,516821813,Y,,
hydraide,hydraide,,X_Single,Y_auto,HydrAIDE,Key-value,Go,"Custom API,RPC",Shared-Everything,Peter Gebri,HU,2025,,Open Source,Apache v2,hydraide/hydraide,952556108,Y,,
hyperdb,hyperdb,,X_Single,Y_auto,HyperDB,"Document,Vector",Python,,Shared-Everything,John Dagdelen,US,2023,2025,"Hobby,Open Source",MIT License,jdagdelen/hyperDB,628503457,Y,,
hyperdex,hyperdex,,X_Single,Y_auto,HyperDex,Key-value,C++,Custom API,Shared-Nothing,Cornell University,US,2011,2016,"Academic,Open Source",BSD License,rescrv/HyperDex,3493103,Y,,
hypergraphdb,hypergraphdb,hypergraphdb,Normal,Y_auto,HyperGraphDB,Graph,Java,Custom API,Shared-Nothing,Kobrix Software,US,2007,2024,Open Source,Apache v2#dbdbio>|<dbengines#L-GPL,hypergraphdb/hypergraphdb,38727503,Y,0.12,337
hypersql,hypersql,hypersql,Normal,Y_auto,HyperSQL,Relational,Java,SQL,Embedded,HSQLDB Development Group,US,2001,2023,Open Source,BSD License,ryenus/hsqldb,101723057,Y,2.56,101
hypertable,hypertable,,X_Single,Y_auto,Hypertable,Wide column,C++,"Custom API,Command-line / Shell",Shared-Disk,Zvents,US,2008,2016,"Commercial,Open Source",GPL v3,hypertable/hypertable,1584552,Y,,
hyrise,hyrise,,X_Single,Y_auto,Hyrise,Relational,C++,"SQL,Stored Procedures",Shared-Everything,Hasso Plattner Institute,DE,2009,,"Academic,Open Source",MIT License,hyrise/hyrise,87414843,Y,,
icecoal,icecoal,,X_Single,Y_auto,Icecoal,Relational,Python,SQL,Embedded,,IN,2020,2020,"Hobby,Open Source",MIT License,ppml38/icecoal,258454329,Y,,
icefiredb,icefiredb,,X_Single,Y_auto,IceFireDB,Key-value,Go,"Custom API,HTTP / REST",Shared-Nothing,Li Biao,CN,2021,,"Hobby,Open Source",Apache v2,IceFireDB/IceFireDB,344711168,Y,,
ignite,ignite,apache-ignite,WebsiteExact:Normal,Y_auto,Apache Ignite,Key-value,Java,SQL,Shared-Nothing,GridGain Systems,US,2014#dbdbio>|<dbengines#2015,2023,Open Source,Apache v2.0,apache/ignite,31006158,Y,2.76,97
immortaldb,immortaldb,,X_Single,Y_auto,ImmortalDB,Key-value,JavaScript,Custom API,Embedded,Ansgar Grunseid,US,2018,2025,Open Source,MIT License,gruns/ImmortalDB,154541438,Y,,
immudb,immudb,immudb,Normal,Y_auto,Immudb,Key-value,Go,HTTP / REST,,Codenotary,US,2019#dbdbio>|<dbengines#2020,2022,Open Source,Apache v2.0,codenotary/immudb,220186120,Y,0.19,310
impala,impala,apache-impala,WebsiteExact:Normal,Y_auto,Apache Impala,Relational,C++,"Custom API,SQL",Shared-Nothing,"Cloudera, Inc.",US,2013,2022,"Commercial,Open Source",Apache v2,apache/impala,56128733,Y,10.92,41
infinidb,infinidb,,X_Single,Y_auto,InfiniDB,Relational,C++,SQL,"Shared-Nothing,Shared-Disk",InfiniDB,US,2000,2014,"Commercial,Open Source",GPL v2,infinidb/infinidb,13589020,Y,,
infinispan,infinispan,infinispan,Normal,Y_auto,Infinispan,Key-value,Java,Custom API,,"Red Hat, Inc.",US,2009,2023,"Commercial,Open Source",Apache v2,infinispan/infinispan,1050944,Y,1.83,130
infinisql,infinisql,,X_Single,Y_auto,InfiniSQL,Relational,C++,SQL,Shared-Nothing,Mark Travis,US,2013,2014,Open Source,GPL v3,infinisql/infinisql,11630463,Y,,
infino,infino,,X_Single,Y_auto,Infino,Relational,Rust,SQL,Shared-Disk,"Infino AI, Inc.",US,,,"Commercial,Open Source",Apache v2,infino-ai/infino,1243401750,Y,,
influxdb,influxdb,influxdb,Normal,Y_auto,InfluxDB,Wide column#dbdbio>|<dbengines#Time Series,Go,"Custom API,SQL,HTTP / REST",,InfluxData,US,2013,2024,"Commercial,Open Source",MIT License,influxdata/influxdb,13124802,Y,21.38,29
infogrid,infogrid,,X_Single,Y_auto,InfoGrid,Graph,,"Custom API,HTTP / REST",Shared-Everything,,US,2008,2013,Open Source,AGPL v3,-,,Y,,
ingres,ingres,ingres,Normal,Y_auto,Ingres,Relational,C,"Custom API,SQL,Stored Procedures,QUEL",Shared-Everything,Actian#dbdbio>|<dbengines#Actian Corporation,US,1974,2024,"Academic,Commercial,Open Source",Proprietary,fosslc/Ingres,600860,Y#dbdbio>|<dbengines#N,3.13,87
iondb,iondb,,X_Single,Y_auto,IonDB,Key-value,C,Custom API,Embedded,University of British Columbia - Okanagan,CA,2015,2024,"Academic,Open Source",BSD License,iondbproject/iondb,31342455,Y,,
iotdb,iotdb,apache-iotdb,RepoExactManual:Normal,Y_auto,Apache IoTDB,Hierarchical#dbdbio>|<dbengines#Time Series,Java,"Custom API,SQL",Embedded,Tsinghua University#dbdbio>|<dbengines#Apache Software Foundation,CN,2017#dbdbio>|<dbengines#2018,2023,"Academic,Open Source",Apache v2.0,apache/iotdb,158975124,Y,2.18,116
irmin,irmin,,X_Single,Y_auto,Irmin,Document,Ocaml,"Custom API,Command-line / Shell",,MirageOS,FR,2013,,Open Source,ISC License,mirage/irmin,9595928,Y,,
issundb,issundb,,X_Single,Y_auto,IssunDB,"Graph,Vector",Rust,"Cypher,HTTP / REST,Command-line / Shell,Model Context Protocol",Embedded,,NO,2026,,"Hobby,Open Source","Apache v2,MIT License",IssunDB/issun-db,1244916331,Y,,
jackrabbit,jackrabbit,apache-jackrabbit,WebsiteExact:Normal,Y_auto,Apache Jackrabbit,Object Oriented#dbdbio>|<dbengines#Content,Java,,,Day Software#dbdbio>|<dbengines#Apache Software Foundation,CH,2004#dbdbio>|<dbengines#2006,2022,Open Source,Apache v2,apache/jackrabbit,206403,Y,3.86,73
jaguardb,jaguardb,jaguardb,Normal,Y_auto,JaguarDB,"Key-value,Array#dbdbio>|<dbengines#Key-value",C++,"Custom API,SQL,Command-line / Shell",Shared-Nothing,"DataJaguar, Inc.",US,2017#dbdbio>|<dbengines#2015,2023,"Commercial,Open Source",MIT License,datajaguar/jaguardb,96580430,Y,0.0,387
jamesql,jamesql,,X_Single,Y_auto,JameSQL,Document,Python,Custom API,Embedded,James,GB,2024,2025,"Hobby,Open Source",MIT License,capjamesg/jamesql,844591313,Y,,
janusgraph,janusgraph,janusgraph,Normal,Y_auto,JanusGraph,Graph,Java,Gremlin,Shared-Disk,"The Linux Foundation; originally developed as,Titan,by Aurelius",US,2012#dbdbio>|<dbengines#2017,2023,Open Source,Apache v2.0,JanusGraph/janusgraph,77385607,Y,1.82,133
jasdb,jasdb,jasdb,Normal,Y_auto,JasDB,Document,Java,HTTP / REST,,Obera Software,NL,2013#dbdbio>|<dbengines#2014,2024,"Commercial,Open Source",MIT License,oberasoftware/jasdb,33053071,Y,0.0,387
jasonisnthappy,jasonisnthappy,,X_Single,Y_auto,jasonisnthappy,Document,Rust,Custom API,Embedded,Soham Bharambe,IN,2025,,"Hobby,Open Source",MIT License,sohzm/jasonisnthappy,1087408719,Y,,
jazz,jazz,,X_Single,Y_auto,Jazz,Relational,Rust,SQL,"Shared-Everything,Embedded",Garden Computing,US,2026,,"Commercial,Open Source",MIT License,garden-co/jazz,1127534604,Y,,
jena,jena,apache-jena-tdb,RepoExactManual:Normal,Y_auto,Apache Jena,RDF,Java,"SPARQL,Datalog",,Hewlett-Packard Company,GB,2000,2023,Open Source,Apache v2.0,apache/jena,7437073,Y,2.47,107
jindb,jindb,,X_Single,Y_auto,JinDB,,Rust,Custom API,Shared-Everything,Shoyo Inokuchi,JP,2019,2021,"Hobby,Open Source",MIT License,shoyo/jindb,,Y,,
joedb,joedb,,X_Single,Y_auto,Joedb,Relational,C++,Custom API,Embedded,Rémi Coulom,FR,2014,,"Hobby,Open Source",MIT License,Remi-Coulom/joedb,30113463,Y,,
jsdb,jsdb,,X_Single,Y_auto,JSDB,Document,JavaScript,Custom API,,Small Technology Foundation,IE,2020,2022,"Hobby,Open Source",AGPL v3,small-tech/jsdb,295745510,Y,,
jsonstoreio,jsonstoreio,,X_Single,Y_auto,jsonstore.io,Document,JavaScript,HTTP / REST,,Eliran Pe'er,IL,2018,2019,Open Source,MIT License,bluzi/jsonstore,127338417,Y,,
jsqldb,jsqldb,,X_Single,Y_auto,JSqlDb,Document,C++,,Shared-Everything,Konrad von Backström,ZA,2017,,Open Source,LGPL v3,jsqldb/jsqldb,,Y,,
juliadb,juliadb,,X_Single,Y_auto,JuliaDB,Relational,Julia,Custom API,Embedded,,US,2017,2023,Open Source,MIT License,JuliaData/JuliaDB.jl,80645561,Y,,
junodb,junodb,,X_Single,Y_auto,JunoDB,Key-value,Go,Custom API,Shared-Nothing,"PayPal Holdings, Inc.",US,,2024,Open Source,Apache v2,paypal/junodb,606125384,Y,,
justindb,justindb,,X_Single,Y_auto,JustinDB,Key-value,Scala,HTTP / REST,Shared-Nothing,Mateusz Maciaszek,PL,2015,2018,Open Source,Apache v2,justin-db/JustinDB,37932930,Y,,
k4,k4,,X_Single,Y_auto,k4,Key-value,Go,Custom API,Embedded,Alex Gaetano Padula,CA,2024,2024,"Hobby,Open Source",MIT License,guycipher/k4,879526764,Y,,
kahadb,kahadb,,X_Single,Y_auto,KahaDB,,Java,,,,US,,,Open Source,Apache v2,-,,Y,,
kai,kai,,X_Single,Y_auto,Kai,Key-value,Erlang,Custom API,Shared-Nothing,Hiroyuki Uchiyama,JP,2008,2009,Open Source,,shino/kai,1499938,Y,,
kairosdb,kairosdb,kairosdb,Normal,Y_auto,KairosDB,"Wide column,Key-value",,Custom API,Shared-Nothing,KairosDB,US,2013,2018,Open Source,Apache v2.0,kairosdb/kairosdb,8039659,Y,0.5,246
kantodb,kantodb,,X_Single,Y_auto,KantoDB,Relational,Rust,SQL,"Shared-Everything,Embedded",Tommi Virtanen,FI,2025,,"Commercial,Hobby,Open Source",,,,Y,,
kappa,kappa,,X_Single,Y_auto,Kappa,Relational,"C,KL1",Custom API,Shared-Nothing,Institute for New Generation Computer Technology,JP,1989,1999,"Industrial Research,Open Source",Proprietary,,,Y,,
kareldb,kareldb,,X_Single,Y_auto,KarelDB,Relational,Java,SQL,,"Confluent, Inc.",US,2019,2025,Open Source,Apache v2,rayokota/kareldb,206686299,Y,,
kekedb,kekedb,,X_Single,Y_auto,KekeDB,Relational,C,SQL,Embedded,Sampo Nurmentaus,FI,,2001,Open Source,GPL v2,-,,Y,,
kektordb,kektordb,,X_Single,Y_auto,KektorDB,Graph,Go,Custom API,Embedded,,IT,2025,,"Hobby,Open Source",Apache v2,sanonone/kektordb,1051002990,Y,,
kenobidb,kenobidb,,X_Single,Y_auto,KenobiDB,Document,Python,Custom API,Embedded,Harrison Erd,US,2019,2025,"Hobby,Open Source",BSD License,patx/kenobi,207457900,Y,,
kerf,kerf,,X_Single,Y_auto,Kerf,,C,"SQL,HTTP / REST",,Kevin Lawler,US,2014,,"Commercial,Open Source",,kevinlawler/kerf,,Y,,
keydb,keydb,keydb,Normal,Y_auto,KeyDB,Key-value,C++,Custom API,,EQ Alpha Technology,CA,2019,2024,"Commercial,Open Source",BSD License,Snapchat/KeyDB,168712350,Y,0.72,212
