DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,github_repo_id,open_source_license,Score_Jul-2026,Rank_Jul-2026
ark,ark,,X_Single,Y_auto,Ark,Relational,C++,SQL,,Devansh Kashyap,IN,2026,,"Hobby,Open Source",MIT License,kashyap-devansh/Ark,1174651148,Y,,
arroyo,arroyo,,X_Single,Y_auto,Arroyo,Relational,Rust,SQL,,Arroyo Systems,US,2023,,"Commercial,Open Source","Apache v2,MIT License",ArroyoSystems/arroyo,621929252,Y,,
asami,asami,,X_Single,Y_auto,Asami,Graph,Clojure,Custom API,Shared-Everything,"Cisco, Paula Gearon",US,2018,2024,"Hobby,Open Source",Eclipse Public License,quoll/asami,131763823,Y,,
assassin,assassin,,X_Single,Y_auto,Assassin,Key-value,JavaScript,Custom API,Shared-Nothing,Ender Minyard,US,2020,2020,Open Source,MIT License,genderev/assassin,292049131,Y,,
asterixdb,asterixdb,,X_Single,Y_auto,AsterixDB,Document,Java,Custom API,Shared-Nothing,University of California-Irvine and University of California-Riverside,US,2009,,"Academic,Open Source",Apache v2,apache/asterixdb,31976266,Y,,
atlas,atlas,,X_Single,Y_auto,Atlas,,Scala,Custom API,,"Netflix, Inc.",US,2014,,Open Source,,Netflix/atlas,,Y,,
averagedb,averagedb,,X_Single,Y_auto,AverageDB,Document,TypeScript,HTTP / REST,,Average Labs,US,2024,,"Hobby,Open Source",Apache v2,joswayski/averagedatabase,811062736,Y,,
aviondb,aviondb,,X_Single,Y_auto,AvionDB,Document,JavaScript,Custom API,Shared-Nothing,DappKit,"IN,US",2020,2020,"Commercial,Open Source",MIT License,aviondb/aviondb,249981301,Y,,
awadb,awadb,,X_Single,Y_auto,AwaDB,"Document,Vector",C++,Custom API,,,CN,2023,2024,Open Source,Apache v2,awa-ai/awadb,642912355,Y,,
axion,axion,,X_Single,Y_auto,Axion,Relational,Java,SQL,Embedded,,US,2002,2007,Open Source,,-,,Y,,
babudb,babudb,,X_Single,Y_auto,BabuDB,Key-value,"C++,Java",Custom API,Embedded,Zuse Institute Berlin,DE,2008,2022,"Academic,Open Source",,xtreemfs/babudb,20433978,Y,,
badgerdb,badgerdb,badger,RepoExactWeb:Normal,Y_auto,BadgerDB,Key-value,Go,Custom API,Embedded,"Dgraph Labs, Inc.",US,2017,,Open Source,Apache v2.0,dgraph-io/badger,80087836,Y,0.08,347
bagri,bagri,,X_Single,Y_auto,Bagri,Document,Java,,,,RU,2014,2019,Open Source,Apache v2,dsukhoroslov/bagri,17684716,Y,,
baikaldb,baikaldb,,X_Single,Y_auto,BaikalDB,Relational,C++,SQL,Shared-Nothing,"Baidu, Inc.",CN,2018,,Open Source,Apache v2,baidu/BaikalDB,143436277,Y,,
bangdb,bangdb,bangdb,Normal,Y_auto,BangDB,Key-value#dbdbio>|<dbengines#Document,C,Custom API,"Shared-Everything,Embedded","IQLECT#dbdbio>|<dbengines#Sachin Sinha, BangDB",IN,2015#dbdbio>|<dbengines#2012,2021,"Commercial,Open Source",BSD License,sachin-sinha/BangDB,34056205,Y,0.09,345
baradb,baradb,,X_Single,Y_auto,BaraDB,"Wide column,Document,Graph",Nim,,,,BG,2026,,Open Source,BSD License,katehonz/barabaDB,1230283259,Y,,
barrel-db,barrel-db,,X_Single,Y_auto,Barrel DB,"Document,Vector",Erlang,"HTTP / REST,Model Context Protocol",,Enki Bridge,FR,2025,,"Commercial,Open Source",Apache v2,barrel-db/barrel,1296163320,Y,,
basex,basex,basex,Normal,Y_auto,BaseX,Document#dbdbio>|<dbengines#Native XML,Java,XQuery,,University of Konstanz,DE,2007,2024,"Academic,Open Source",BSD License,BaseXdb/basex,1374129,Y,1.42,157
bayesdb,bayesdb,,X_Single,Y_auto,BayesDB,,Python,,,Massachusetts Institute of Technology,US,2015,2020,"Academic,Open Source",Apache v2,probcomp/bayeslite,,Y,,
bbolt,bbolt,,X_Single,Y_auto,bbolt,Key-value,Go,Custom API,Embedded,CoreOS,US,2017,,Open Source,MIT License,etcd-io/bbolt,94593596,Y,,
bboxdb,bboxdb,,X_Single,Y_auto,BBoxDB,Array,Java,"Custom API,Command-line / Shell",Shared-Nothing,Jan Nidzwetzki,DE,2015,,"Hobby,Open Source",Apache v2,jnidzwetzki/bboxdb,45732002,Y,,
beagle-sql,beagle-sql,,X_Single,Y_auto,Beagle SQL,Relational,C++,SQL,Shared-Everything,"Robert Klein, Jean-Claude Magras",US,1996,1999,Open Source,,jonahharris/osdb-beaglesql,119234782,Y,,
bedrock,bedrock,,X_Single,Y_auto,Bedrock,Relational,C++,"SQL,Command-line / Shell","Shared-Disk,Embedded","Expensify, Inc.",US,2016,,Open Source,LGPL v3,Expensify/Bedrock,67904342,Y,,
bemidb,bemidb,,X_Single,Y_auto,BemiDB,Relational,Go,SQL,,"Bemi Technologies, Inc.",US,2024,,"Commercial,Open Source",,BemiHQ/BemiDB,883391427,Y,,
bergdb,bergdb,bergdb,Normal,Y_auto,BergDB,Document#dbdbio>|<dbengines#Key-value,Java,,Embedded,Frans Lundberg,SE,2013,,Open Source,AGPL v3,bergdb/bergdb,88422672,Y,0.0,387
beringei,beringei,,X_Single,Y_auto,Beringei,Key-value,C++,Custom API,Shared-Nothing,Meta Platforms Inc,US,2015,2017,Open Source,BSD License,facebookarchive/beringei,70541093,Y,,
